L22G,L22J,L22N,Pad Name,EIC,ANAREF,ADC,AC,PTC,SLCD,SERCOM,SERCOM,TCTCC,TCC/RTC,COM/RTC,AC-GCLK-SUPC,CCL,pin,name,io,bank,ball,name
,,3,PC00,EIC[8],,AIN[16],,,,,,,,RTC-IN[3],,,3,PC00/EIC[8],io,0,D3,PC00
,,4,PC01,EIC[9],,AIN[17],,,,,,,,RTC-IN[4],,,4,PC01/EIC[9],io,0,C2,PC01
,,5,PC02,EIC[10],,AIN[18],,XY[6],,,,,,,,,5,PC02/EIC[10],io,0,C1,PC02
,,6,PC03,EIC[11],,AIN[19],,XY[7],,,,,,,,,6,PC03/EIC[11],io,0,D2,PC03
,,21,PC05,EIC[13],,,,XY[4],LP[8],,,,,,,,21,PC05/EIC[13]/LP[8],io,1,K1,PC05
,,22,PC06,EIC[14],,,,XY[5],LP[9],,,,,,,,22,PC06/EIC[14]/LP[9],io,1,K2,PC06
,,23,PC07,EIC[15],,,,,LP[10],,,,,,,,23,PC07/EIC[15]/LP[10],io,1,J3,PC07
,,30,PC08,EIC[0],,,,,LP[15],,,,,,,,30,PC08/EIC[0]/LP[15],io,1,L3,PC08
,,31,PC09,EIC[1],,,,,LP[16],,,,,,,,31,PC09/EIC[1]/LP[16],io,1,J5,PC09
,,32,PC10,EIC[2],,,,,LP[17],SC1[2],,,,,,,32,PC10/EIC[2]/LP[17]/SC1[2],io,1,K4,PC10
,,33,PC11,EIC[3],,,,,LP[18],SC1[3],,,,,,,33,PC11/EIC[3]/LP[18]/SC1[3],io,1,L4,PC11
,,34,PC12,EIC[4],,,,,LP[19],SC1[0],,,,,,,34,PC12/EIC[4]/LP[19]/SC1[0],io,1,K5,PC12
,,35,PC13,EIC[5],,,,,LP[20],SC1[1],,,,,,,35,PC13/EIC[5]/LP[20]/SC1[1],io,1,L5,PC13
,,44,PC14,EIC[6],,,,,LP[26],,,,,,,,44,PC14/EIC[6]/LP[26],io,1,J8,PC14
,,45,PC15,EIC[7],,,,,LP[27],,,,,,,,45,PC15/EIC[7]/LP[27],io,1,L9,PC15
,,56,PC16,EIC[8],,,,,LP[36],,,,,,,,56,PC16/EIC[8]/LP[36],io,1,J11,PC16
,,57,PC17,EIC[9],,,,,LP[37],,,,,,,,57,PC17/EIC[9]/LP[37],io,1,H10,PC17
,,58,PC18,EIC[10],,,,,LP[38],,,,,,,,58,PC18/EIC[10]/LP[38],io,1,H11,PC18
,,59,PC19,EIC[11],,,,,LP[39],,,,,,,,59,PC19/EIC[11]/LP[39],io,1,G10,PC19
,,60,PC20,EIC[12],,,,,LP[40],,,,,,,CCL-IN[9],60,PC20/EIC[12]/LP[40],io,1,G11,PC20
,,61,PC21,EIC[13],,,,,LP[41],,,,,,,CCL-IN[10],61,PC21/EIC[13]/LP[41],io,1,F10,PC21
,,82,PC24,EIC[0],,,,,,SC0[2],SC4[2],TC2-WO[0],TCC-WO[0],,,,82,PC24/EIC[0]/SC0[2]/SC4[2],io,0,B9,PC24
,,83,PC25,EIC[1],,,,,,SC0[3],SC4[3],TC2-WO[1],TCC-WO[1],,,,83,PC25/EIC[1]/SC0[3]/SC4[3],io,0,B8,PC25
,,84,PC26,EIC[2],,,,,,,,TC3-WO[0],TCC-WO[2],,,,84,PC26/EIC[2],io,0,B7,PC26
,,85,PC27,EIC[3],,,,,,,SC1[0],TC3-WO[1],TCC-WO[3],,,CCL-IN[4],85,PC27/EIC[3]/SC1[0],io,0,A7,PC27
,,86,PC28,EIC[4],,,,XY[20],,,SC1[1],,TCC-WO[4],,,CCL-IN[5],86,PC28/EIC[4]/SC1[1],io,0,B6,PC28
40,52,88,RESET_N,,,,,,,,,,,,,,88,RESET_N,io,0,C5,RESET_N
19,23,38,VLCD,,,,,,,,,,,,,,38,VLCD,pwr,0,L6,VLCD
,,,,,,,,,,,,,,,,,,VSW,pwr,2,A4,VSW
,,,,,,,,,,,,,,,,,,GNDANA,pwr,2,E3,GNDANA
,,,,,,,,,,,,,,,,,,GNDIO,pwr,2,C6,GNDIO
,,,,,,,,,,,,,,,,,,VDDANA,pwr,2,F3,VDDANA
,,,,,,,,,,,,,,,,,,VDDCORE,pwr,2,A5,VDDCORE
,,,,,,,,,,,,,,,,,,VDDIO,pwr,2,D8,VDDIO
,,,,,,,,,,,,,,,,,,GNDANA,pwr,2,H4,
,,,,,,,,,,,,,,,,,,VDDANA,pwr,2,G3,
,,,,,,,,,,,,,,,,,,VDDIO,pwr,2,D4,
,,,,,,,,,,,,,,,,,,VDDIO,pwr,2,J6,
,,,,,,,,,,,,,,,,,,VDDIO,pwr,2,H8,
,,,,,,,,,,,,,,,,,,VDDIO,pwr,2,F9,
,,,,,,,,,,,,,,,,,,GNDIO,pwr,2,H4,
,,,,,,,,,,,,,,,,,,GNDIO,pwr,2,J7,
,,,,,,,,,,,,,,,,,,GNDIO,pwr,2,G9,
,,,,,,,,,,,,,,,,,,GNDIO,pwr,2,E9,
